City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Turukhansk,RU,65.82,87.98,51.69,67,100,17.45,overcast clouds
83,Aasiaat,GL,68.71,-52.87,36.99,79,99,6.08,overcast clouds
84,Leninskoye,RU,47.94,132.62,68.85,76,0,13.58,clear sky
85,Mar Del Plata,AR,-38.0,-57.56,48.2,76,98,4.7,overcast clouds
86,Porto Velho,BR,-8.76,-63.9,82.4,69,20,2.24,few clouds
87,Aksarka,RU,66.56,67.8,36.7,90,14,5.57,few clouds
88,Bluff,NZ,-46.6,168.33,52.95,67,64,11.7,broken clouds
89,Lufilufi,WS,-13.87,-171.6,87.8,66,75,6.93,broken clouds
90,Chokurdakh,RU,70.63,147.92,44.65,59,0,17.34,clear sky
91,Yellowknife,CA,62.46,-114.35,55.4,47,40,2.24,scattered clouds
92,Pangoa,PE,-12.12,-73.0,69.01,85,100,2.86,overcast clouds
93,Touros,BR,-5.2,-35.46,71.6,88,20,3.36,few clouds
94,Emba,KZ,48.83,58.14,53.22,43,0,4.56,clear sky
95,Praia Da Vitoria,PT,38.73,-27.07,70.0,77,75,18.68,broken clouds
96,Nikolskoye,RU,59.7,30.79,57.99,87,100,6.71,overcast clouds
97,Pirgos,GR,35.12,25.72,80.01,55,1,13.0,clear sky
98,Cidreira,BR,-30.18,-50.21,55.26,86,0,8.37,clear sky
99,Severo-Kurilsk,RU,50.68,156.12,54.9,69,83,3.74,broken clouds
100,La Ronge,CA,55.1,-105.28,62.6,51,75,9.17,broken clouds
101,Wattegama,LK,6.8,81.48,75.2,100,20,4.7,few clouds
102,Pevek,RU,69.7,170.31,36.27,83,99,3.09,overcast clouds
103,Palmer,US,42.16,-72.33,64.0,77,40,4.97,scattered clouds
104,Beira,MZ,-19.84,34.84,71.6,78,20,12.75,few clouds
105,Codrington,AU,-38.27,141.97,55.8,71,0,6.69,clear sky
106,Yerbogachen,RU,61.28,108.01,59.23,89,100,5.64,light rain
107,Tabuk,PH,17.42,121.44,81.88,74,22,1.92,few clouds
108,Ilulissat,GL,69.22,-51.1,41.0,75,91,5.82,overcast clouds
109,Belawan,ID,3.78,98.68,79.74,71,100,3.11,overcast clouds
110,Ninotsminda,GE,41.26,43.59,55.4,76,0,5.23,clear sky
111,Almaznyy,RU,48.04,40.05,69.8,28,100,20.13,overcast clouds
112,Hobyo,SO,5.35,48.53,76.37,77,100,24.63,overcast clouds
113,Filadelfia,US,39.95,-75.16,80.6,47,75,6.93,broken clouds
114,Leningradskiy,RU,69.38,178.42,37.2,80,100,4.7,overcast clouds
115,Saint George,US,37.1,-113.58,107.6,5,1,4.7,clear sky
116,Sucila,MX,21.15,-88.32,80.73,78,26,10.31,scattered clouds
117,Shenjiamen,CN,29.96,122.3,78.67,61,58,10.13,broken clouds
118,Chernyshevskiy,RU,63.01,112.47,55.9,88,55,4.38,broken clouds
119,Rawson,AR,-43.3,-65.1,44.94,66,0,8.57,clear sky
120,Sao Filipe,CV,14.9,-24.5,80.01,82,90,19.04,light rain
121,Grindavik,IS,63.84,-22.43,41.0,80,100,8.05,overcast clouds
122,Okha,RU,53.57,142.95,63.19,93,100,11.32,overcast clouds
123,Aktau,KZ,43.65,51.2,60.8,51,0,8.95,clear sky
124,Yarada,IN,17.65,83.27,78.8,100,40,4.7,mist
125,Kununurra,AU,-15.77,128.73,86.0,40,0,10.29,clear sky
126,Airai,TL,-8.93,125.41,74.61,37,0,4.32,clear sky
127,Bali Chak,IN,22.37,87.55,80.56,80,0,8.08,clear sky
128,Ronda,ES,36.74,-5.17,66.0,68,0,5.79,clear sky
129,Shaoyang,CN,27.23,111.45,70.5,86,93,2.42,overcast clouds
130,Ajaccio,FR,42.0,8.92,64.4,77,0,8.05,clear sky
131,Bluffton,US,32.24,-80.86,87.8,70,1,8.05,haze
132,Sistranda,NO,63.73,8.83,51.8,93,75,5.82,broken clouds
133,San Borja,BO,-14.82,-66.85,80.26,45,11,1.77,few clouds
134,Tiksi,RU,71.69,128.87,51.15,75,55,3.91,broken clouds
135,Kavieng,PG,-2.57,150.8,84.24,75,100,14.29,light rain
136,Auburn,US,47.31,-122.23,84.99,44,75,6.93,broken clouds
137,Atar,MR,20.52,-13.05,92.91,35,100,8.9,overcast clouds
138,Boysun,UZ,38.21,67.2,57.29,41,0,1.97,clear sky
139,Trindade,BR,-16.65,-49.49,82.4,26,26,10.29,scattered clouds
140,Algeciras,ES,36.13,-5.45,71.6,88,14,23.04,few clouds
141,Lagoa,PT,39.05,-27.98,69.73,75,3,20.85,clear sky
142,Comodoro Rivadavia,AR,-45.87,-67.5,44.6,75,85,1.52,overcast clouds
143,Hay River,CA,60.82,-115.8,55.4,71,75,14.99,broken clouds
144,Taos,US,36.41,-105.57,87.8,24,1,16.11,thunderstorm
145,Ondjiva,AO,-17.07,15.73,68.67,37,15,6.49,few clouds
146,Fomboni,KM,-12.28,43.74,75.15,80,70,15.86,broken clouds
147,Morozovsk,RU,48.35,41.83,63.63,37,100,14.54,overcast clouds
148,Imbituba,BR,-28.24,-48.67,60.8,77,90,6.93,overcast clouds
149,Fort Nelson,CA,58.81,-122.7,64.4,48,75,2.24,broken clouds
150,Port Antonio,JM,18.18,-76.46,84.2,66,20,24.16,few clouds
151,Bethel,US,41.37,-73.41,68.0,68,1,5.48,clear sky
152,Kavaratti,IN,10.57,72.64,82.11,79,100,6.73,light rain
153,Urdoma,RU,61.75,48.54,50.88,88,100,5.7,overcast clouds
154,Soyo,AO,-6.13,12.37,72.37,87,100,7.78,overcast clouds
155,San Antonio,US,29.42,-98.49,80.6,94,75,8.05,broken clouds
156,Biloela,AU,-24.42,150.5,75.63,41,80,1.83,broken clouds
157,Cape Town,ZA,-33.93,18.42,57.99,93,75,8.05,broken clouds
158,Vardo,NO,70.37,31.11,53.55,90,68,15.88,broken clouds
159,Bako,ET,5.78,36.57,65.34,79,100,2.37,light rain
160,Saskylakh,RU,71.92,114.08,41.9,91,100,16.04,light rain
161,Stykkisholmur,IS,65.08,-22.73,43.16,73,19,2.55,few clouds
